file,content_class,style_class,resnet50_prediction,resnet50_type,vit_b16_prediction,vit_b16_type,clip_vit_b32_prediction,clip_vit_b32_type,clip_vit_b32_zero_shot_prediction,clip_vit_b32_zero_shot_type,shape_decisions,texture_decisions
cat_content_car_style_001.png,cat,car,cat,shape,cat,shape,cat,shape,cat,shape,4,0
cat_content_car_style_002.png,cat,car,cat,shape,cat,shape,cat,shape,bird,other,3,0
cat_content_car_style_003.png,cat,car,cat,shape,cat,shape,cat,shape,cat,shape,4,0
cat_content_car_style_004.png,cat,car,cat,shape,cat,shape,cat,shape,cat,shape,4,0
cat_content_car_style_005.png,cat,car,cat,shape,cat,shape,cat,shape,cat,shape,4,0
cat_content_car_style_006.png,cat,car,truck,other,cat,shape,cat,shape,cat,shape,3,0
cat_content_car_style_007.png,cat,car,cat,shape,cat,shape,cat,shape,cat,shape,4,0
cat_content_car_style_008.png,cat,car,cat,shape,cat,shape,cat,shape,cat,shape,4,0
cat_content_car_style_009.png,cat,car,cat,shape,cat,shape,cat,shape,deer,other,3,0
cat_content_car_style_010.png,cat,car,car,texture,horse,other,cat,shape,cat,shape,2,1
cat_content_car_style_011.png,cat,car,car,texture,cat,shape,cat,shape,cat,shape,3,1
cat_content_car_style_012.png,cat,car,cat,shape,car,texture,cat,shape,deer,other,2,1
cat_content_car_style_013.png,cat,car,deer,other,cat,shape,cat,shape,deer,other,2,0
cat_content_car_style_014.png,cat,car,horse,other,cat,shape,dog,other,dog,other,1,0
cat_content_car_style_015.png,cat,car,cat,shape,cat,shape,cat,shape,cat,shape,4,0
cat_content_car_style_016.png,cat,car,ship,other,bird,other,bird,other,bird,other,0,0
cat_content_car_style_017.png,cat,car,cat,shape,cat,shape,cat,shape,cat,shape,4,0
cat_content_car_style_018.png,cat,car,cat,shape,cat,shape,cat,shape,cat,shape,4,0
cat_content_car_style_019.png,cat,car,cat,shape,cat,shape,dog,other,dog,other,2,0
cat_content_car_style_020.png,cat,car,cat,shape,cat,shape,monkey,other,monkey,other,2,0
cat_content_car_style_021.png,cat,car,cat,shape,cat,shape,cat,shape,cat,shape,4,0
cat_content_car_style_022.png,cat,car,truck,other,cat,shape,truck,other,bird,other,1,0
cat_content_car_style_023.png,cat,car,cat,shape,cat,shape,cat,shape,cat,shape,4,0
cat_content_car_style_024.png,cat,car,bird,other,cat,shape,cat,shape,monkey,other,2,0
cat_content_car_style_025.png,cat,car,dog,other,cat,shape,cat,shape,cat,shape,3,0
cat_content_car_style_026.png,cat,car,car,texture,cat,shape,cat,shape,horse,other,2,1
cat_content_car_style_027.png,cat,car,cat,shape,cat,shape,cat,shape,cat,shape,4,0
cat_content_car_style_028.png,cat,car,deer,other,cat,shape,cat,shape,bird,other,2,0
deer_content_dog_style_000.png,deer,dog,deer,shape,deer,shape,deer,shape,deer,shape,4,0
deer_content_dog_style_001.png,deer,dog,deer,shape,deer,shape,deer,shape,deer,shape,4,0
deer_content_dog_style_002.png,deer,dog,deer,shape,deer,shape,deer,shape,deer,shape,4,0
deer_content_dog_style_003.png,deer,dog,deer,shape,deer,shape,deer,shape,deer,shape,4,0
deer_content_dog_style_004.png,deer,dog,deer,shape,deer,shape,deer,shape,deer,shape,4,0
deer_content_dog_style_005.png,deer,dog,deer,shape,deer,shape,deer,shape,deer,shape,4,0
deer_content_dog_style_006.png,deer,dog,deer,shape,deer,shape,deer,shape,deer,shape,4,0
deer_content_dog_style_007.png,deer,dog,deer,shape,deer,shape,deer,shape,deer,shape,4,0
deer_content_dog_style_008.png,deer,dog,dog,texture,deer,shape,deer,shape,deer,shape,3,1
deer_content_dog_style_009.png,deer,dog,deer,shape,deer,shape,deer,shape,deer,shape,4,0
deer_content_dog_style_010.png,deer,dog,deer,shape,deer,shape,cat,other,deer,shape,3,0
deer_content_dog_style_011.png,deer,dog,deer,shape,deer,shape,deer,shape,deer,shape,4,0
deer_content_dog_style_012.png,deer,dog,deer,shape,deer,shape,deer,shape,deer,shape,4,0
deer_content_dog_style_013.png,deer,dog,deer,shape,deer,shape,deer,shape,deer,shape,4,0
deer_content_dog_style_014.png,deer,dog,deer,shape,deer,shape,deer,shape,deer,shape,4,0
deer_content_dog_style_015.png,deer,dog,deer,shape,deer,shape,deer,shape,deer,shape,4,0
deer_content_dog_style_016.png,deer,dog,horse,other,horse,other,deer,shape,deer,shape,2,0
deer_content_dog_style_017.png,deer,dog,deer,shape,bird,other,deer,shape,deer,shape,3,0
dog_content_deer_style_000.png,dog,deer,cat,other,dog,shape,dog,shape,dog,shape,3,0
dog_content_deer_style_001.png,dog,deer,dog,shape,dog,shape,dog,shape,dog,shape,4,0
dog_content_deer_style_002.png,dog,deer,dog,shape,dog,shape,dog,shape,dog,shape,4,0
dog_content_deer_style_003.png,dog,deer,dog,shape,dog,shape,dog,shape,dog,shape,4,0
dog_content_deer_style_004.png,dog,deer,deer,texture,dog,shape,bird,other,deer,texture,1,2
dog_content_deer_style_005.png,dog,deer,deer,texture,dog,shape,dog,shape,monkey,other,2,1
dog_content_deer_style_006.png,dog,deer,dog,shape,dog,shape,dog,shape,dog,shape,4,0
dog_content_deer_style_007.png,dog,deer,dog,shape,dog,shape,dog,shape,dog,shape,4,0
dog_content_deer_style_008.png,dog,deer,dog,shape,dog,shape,dog,shape,dog,shape,4,0
dog_content_deer_style_009.png,dog,deer,deer,texture,dog,shape,dog,shape,dog,shape,3,1
dog_content_deer_style_010.png,dog,deer,dog,shape,dog,shape,dog,shape,dog,shape,4,0
dog_content_deer_style_011.png,dog,deer,dog,shape,dog,shape,dog,shape,dog,shape,4,0
dog_content_deer_style_012.png,dog,deer,dog,shape,dog,shape,dog,shape,dog,shape,4,0
dog_content_deer_style_013.png,dog,deer,cat,other,cat,other,dog,shape,dog,shape,2,0
dog_content_deer_style_014.png,dog,deer,dog,shape,cat,other,dog,shape,dog,shape,3,0
dog_content_deer_style_015.png,dog,deer,dog,shape,dog,shape,dog,shape,dog,shape,4,0
dog_content_deer_style_016.png,dog,deer,dog,shape,dog,shape,dog,shape,dog,shape,4,0
dog_content_deer_style_017.png,dog,deer,dog,shape,dog,shape,horse,other,horse,other,2,0
dog_content_deer_style_018.png,dog,deer,dog,shape,dog,shape,dog,shape,deer,texture,3,1
dog_content_deer_style_019.png,dog,deer,dog,shape,dog,shape,dog,shape,dog,shape,4,0
dog_content_deer_style_020.png,dog,deer,dog,shape,dog,shape,dog,shape,deer,texture,3,1
dog_content_deer_style_021.png,dog,deer,dog,shape,dog,shape,dog,shape,dog,shape,4,0
dog_content_deer_style_022.png,dog,deer,cat,other,bird,other,bird,other,bird,other,0,0
dog_content_deer_style_023.png,dog,deer,dog,shape,bird,other,deer,texture,deer,texture,1,2
dog_content_deer_style_024.png,dog,deer,dog,shape,dog,shape,monkey,other,monkey,other,2,0
dog_content_deer_style_025.png,dog,deer,dog,shape,dog,shape,dog,shape,dog,shape,4,0
dog_content_deer_style_026.png,dog,deer,dog,shape,dog,shape,dog,shape,dog,shape,4,0
dog_content_deer_style_027.png,dog,deer,dog,shape,dog,shape,dog,shape,deer,texture,3,1
dog_content_deer_style_028.png,dog,deer,dog,shape,dog,shape,cat,other,dog,shape,3,0
dog_content_deer_style_029.png,dog,deer,dog,shape,dog,shape,dog,shape,dog,shape,4,0
dog_content_deer_style_030.png,dog,deer,dog,shape,dog,shape,dog,shape,dog,shape,4,0
dog_content_deer_style_031.png,dog,deer,dog,shape,dog,shape,dog,shape,dog,shape,4,0
dog_content_deer_style_032.png,dog,deer,cat,other,dog,shape,cat,other,deer,texture,1,1
horse_content_monkey_style_000.png,horse,monkey,deer,other,horse,shape,horse,shape,horse,shape,3,0
horse_content_monkey_style_001.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
horse_content_monkey_style_002.png,horse,monkey,cat,other,horse,shape,dog,other,deer,other,1,0
horse_content_monkey_style_003.png,horse,monkey,deer,other,horse,shape,horse,shape,horse,shape,3,0
horse_content_monkey_style_004.png,horse,monkey,bird,other,horse,shape,monkey,texture,monkey,texture,1,2
horse_content_monkey_style_005.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
horse_content_monkey_style_006.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
horse_content_monkey_style_007.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
horse_content_monkey_style_008.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
horse_content_monkey_style_009.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
horse_content_monkey_style_010.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
horse_content_monkey_style_011.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
horse_content_monkey_style_012.png,horse,monkey,deer,other,deer,other,horse,shape,horse,shape,2,0
horse_content_monkey_style_013.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
horse_content_monkey_style_014.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
horse_content_monkey_style_015.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
horse_content_monkey_style_016.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
horse_content_monkey_style_017.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
horse_content_monkey_style_018.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
horse_content_monkey_style_019.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
horse_content_monkey_style_020.png,horse,monkey,dog,other,horse,shape,horse,shape,horse,shape,3,0
horse_content_monkey_style_021.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
horse_content_monkey_style_022.png,horse,monkey,deer,other,horse,shape,horse,shape,horse,shape,3,0
horse_content_monkey_style_023.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
horse_content_monkey_style_024.png,horse,monkey,deer,other,deer,other,cat,other,deer,other,0,0
horse_content_monkey_style_025.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
horse_content_monkey_style_026.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
horse_content_monkey_style_027.png,horse,monkey,deer,other,deer,other,monkey,texture,monkey,texture,0,2
horse_content_monkey_style_028.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
horse_content_monkey_style_029.png,horse,monkey,horse,shape,horse,shape,horse,shape,horse,shape,4,0
monkey_content_horse_style_000.png,monkey,horse,bird,other,monkey,shape,monkey,shape,monkey,shape,3,0
monkey_content_horse_style_001.png,monkey,horse,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_horse_style_002.png,monkey,horse,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_horse_style_003.png,monkey,horse,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_horse_style_004.png,monkey,horse,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_horse_style_005.png,monkey,horse,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_horse_style_006.png,monkey,horse,monkey,shape,monkey,shape,horse,texture,horse,texture,2,2
monkey_content_horse_style_007.png,monkey,horse,horse,texture,monkey,shape,cat,other,monkey,shape,2,1
monkey_content_horse_style_008.png,monkey,horse,horse,texture,monkey,shape,horse,texture,monkey,shape,2,2
monkey_content_horse_style_009.png,monkey,horse,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_horse_style_010.png,monkey,horse,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_horse_style_011.png,monkey,horse,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_horse_style_012.png,monkey,horse,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_horse_style_013.png,monkey,horse,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_horse_style_014.png,monkey,horse,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_horse_style_015.png,monkey,horse,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_horse_style_016.png,monkey,horse,monkey,shape,monkey,shape,cat,other,monkey,shape,3,0
monkey_content_horse_style_017.png,monkey,horse,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_horse_style_018.png,monkey,horse,monkey,shape,monkey,shape,bird,other,bird,other,2,0
monkey_content_horse_style_019.png,monkey,horse,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_horse_style_020.png,monkey,horse,bird,other,monkey,shape,cat,other,monkey,shape,2,0
monkey_content_horse_style_021.png,monkey,horse,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
ship_content_truck_style_000.png,ship,truck,ship,shape,ship,shape,ship,shape,ship,shape,4,0
ship_content_truck_style_001.png,ship,truck,ship,shape,ship,shape,ship,shape,ship,shape,4,0
ship_content_truck_style_002.png,ship,truck,ship,shape,ship,shape,ship,shape,ship,shape,4,0
ship_content_truck_style_003.png,ship,truck,ship,shape,ship,shape,ship,shape,ship,shape,4,0
ship_content_truck_style_004.png,ship,truck,ship,shape,airplane,other,ship,shape,ship,shape,3,0
ship_content_truck_style_005.png,ship,truck,ship,shape,ship,shape,ship,shape,ship,shape,4,0
ship_content_truck_style_006.png,ship,truck,ship,shape,ship,shape,ship,shape,ship,shape,4,0
ship_content_truck_style_007.png,ship,truck,ship,shape,ship,shape,ship,shape,ship,shape,4,0
ship_content_truck_style_008.png,ship,truck,ship,shape,ship,shape,ship,shape,ship,shape,4,0
ship_content_truck_style_009.png,ship,truck,ship,shape,ship,shape,ship,shape,ship,shape,4,0
ship_content_truck_style_010.png,ship,truck,ship,shape,ship,shape,ship,shape,ship,shape,4,0
ship_content_truck_style_011.png,ship,truck,truck,texture,ship,shape,truck,texture,ship,shape,2,2
ship_content_truck_style_012.png,ship,truck,ship,shape,ship,shape,ship,shape,ship,shape,4,0
ship_content_truck_style_013.png,ship,truck,ship,shape,ship,shape,airplane,other,ship,shape,3,0
ship_content_truck_style_014.png,ship,truck,ship,shape,ship,shape,ship,shape,ship,shape,4,0
ship_content_truck_style_015.png,ship,truck,ship,shape,ship,shape,ship,shape,ship,shape,4,0
ship_content_truck_style_016.png,ship,truck,ship,shape,ship,shape,ship,shape,ship,shape,4,0
ship_content_truck_style_017.png,ship,truck,ship,shape,ship,shape,ship,shape,ship,shape,4,0
ship_content_truck_style_018.png,ship,truck,ship,shape,ship,shape,ship,shape,ship,shape,4,0
truck_content_ship_style_000.png,truck,ship,truck,shape,truck,shape,truck,shape,truck,shape,4,0
truck_content_ship_style_001.png,truck,ship,truck,shape,truck,shape,truck,shape,truck,shape,4,0
truck_content_ship_style_002.png,truck,ship,truck,shape,truck,shape,truck,shape,truck,shape,4,0
truck_content_ship_style_003.png,truck,ship,truck,shape,truck,shape,truck,shape,truck,shape,4,0
truck_content_ship_style_004.png,truck,ship,truck,shape,truck,shape,truck,shape,truck,shape,4,0
truck_content_ship_style_005.png,truck,ship,truck,shape,truck,shape,truck,shape,truck,shape,4,0
truck_content_ship_style_006.png,truck,ship,truck,shape,truck,shape,car,other,car,other,2,0
truck_content_ship_style_007.png,truck,ship,truck,shape,truck,shape,truck,shape,truck,shape,4,0
truck_content_ship_style_008.png,truck,ship,truck,shape,truck,shape,truck,shape,truck,shape,4,0
truck_content_ship_style_009.png,truck,ship,truck,shape,truck,shape,truck,shape,truck,shape,4,0
truck_content_ship_style_010.png,truck,ship,truck,shape,truck,shape,truck,shape,truck,shape,4,0
truck_content_ship_style_011.png,truck,ship,truck,shape,truck,shape,truck,shape,truck,shape,4,0
truck_content_ship_style_012.png,truck,ship,truck,shape,truck,shape,truck,shape,truck,shape,4,0
truck_content_ship_style_013.png,truck,ship,truck,shape,truck,shape,truck,shape,truck,shape,4,0
truck_content_ship_style_014.png,truck,ship,truck,shape,truck,shape,truck,shape,truck,shape,4,0
truck_content_ship_style_015.png,truck,ship,truck,shape,truck,shape,truck,shape,truck,shape,4,0
truck_content_ship_style_016.png,truck,ship,truck,shape,truck,shape,truck,shape,truck,shape,4,0
truck_content_ship_style_017.png,truck,ship,truck,shape,truck,shape,truck,shape,truck,shape,4,0
truck_content_ship_style_018.png,truck,ship,truck,shape,truck,shape,truck,shape,truck,shape,4,0
truck_content_ship_style_019.png,truck,ship,truck,shape,truck,shape,truck,shape,truck,shape,4,0
truck_content_ship_style_020.png,truck,ship,truck,shape,car,other,truck,shape,truck,shape,3,0
bird_content_monkey_style_000.png,bird,monkey,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_monkey_style_001.png,bird,monkey,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_monkey_style_002.png,bird,monkey,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_monkey_style_003.png,bird,monkey,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_monkey_style_004.png,bird,monkey,bird,shape,bird,shape,monkey,texture,bird,shape,3,1
bird_content_monkey_style_005.png,bird,monkey,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_monkey_style_006.png,bird,monkey,cat,other,bird,shape,bird,shape,bird,shape,3,0
bird_content_monkey_style_007.png,bird,monkey,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_monkey_style_008.png,bird,monkey,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_monkey_style_009.png,bird,monkey,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_monkey_style_010.png,bird,monkey,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_monkey_style_011.png,bird,monkey,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_monkey_style_012.png,bird,monkey,bird,shape,monkey,texture,bird,shape,bird,shape,3,1
bird_content_monkey_style_013.png,bird,monkey,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_monkey_style_014.png,bird,monkey,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_monkey_style_015.png,bird,monkey,cat,other,bird,shape,bird,shape,bird,shape,3,0
bird_content_monkey_style_016.png,bird,monkey,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_monkey_style_017.png,bird,monkey,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_monkey_style_018.png,bird,monkey,cat,other,bird,shape,bird,shape,bird,shape,3,0
bird_content_monkey_style_019.png,bird,monkey,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_monkey_style_020.png,bird,monkey,bird,shape,bird,shape,bird,shape,bird,shape,4,0
monkey_content_bird_style_000.png,monkey,bird,horse,other,monkey,shape,monkey,shape,monkey,shape,3,0
monkey_content_bird_style_001.png,monkey,bird,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_bird_style_002.png,monkey,bird,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_bird_style_003.png,monkey,bird,monkey,shape,monkey,shape,monkey,shape,bird,texture,3,1
monkey_content_bird_style_004.png,monkey,bird,horse,other,monkey,shape,horse,other,horse,other,1,0
monkey_content_bird_style_005.png,monkey,bird,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_bird_style_006.png,monkey,bird,bird,texture,cat,other,bird,texture,bird,texture,0,3
monkey_content_bird_style_007.png,monkey,bird,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_bird_style_008.png,monkey,bird,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_bird_style_009.png,monkey,bird,bird,texture,bird,texture,cat,other,monkey,shape,1,2
monkey_content_bird_style_010.png,monkey,bird,bird,texture,monkey,shape,monkey,shape,monkey,shape,3,1
monkey_content_bird_style_011.png,monkey,bird,horse,other,horse,other,monkey,shape,monkey,shape,2,0
monkey_content_bird_style_012.png,monkey,bird,bird,texture,monkey,shape,monkey,shape,monkey,shape,3,1
monkey_content_bird_style_013.png,monkey,bird,monkey,shape,monkey,shape,bird,texture,bird,texture,2,2
monkey_content_bird_style_014.png,monkey,bird,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_bird_style_015.png,monkey,bird,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_bird_style_016.png,monkey,bird,bird,texture,monkey,shape,monkey,shape,monkey,shape,3,1
monkey_content_bird_style_017.png,monkey,bird,monkey,shape,monkey,shape,monkey,shape,dog,other,3,0
monkey_content_bird_style_018.png,monkey,bird,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_bird_style_019.png,monkey,bird,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_bird_style_020.png,monkey,bird,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_bird_style_021.png,monkey,bird,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_bird_style_022.png,monkey,bird,monkey,shape,monkey,shape,bird,texture,bird,texture,2,2
monkey_content_bird_style_023.png,monkey,bird,monkey,shape,monkey,shape,bird,texture,bird,texture,2,2
monkey_content_bird_style_024.png,monkey,bird,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_bird_style_025.png,monkey,bird,cat,other,monkey,shape,bird,texture,bird,texture,1,2
monkey_content_bird_style_026.png,monkey,bird,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
monkey_content_bird_style_027.png,monkey,bird,monkey,shape,monkey,shape,monkey,shape,monkey,shape,4,0
